ClusterIndex,Probability,Offspring,Father,Mother
1,1,A16_1,*1,KKM0976
1,1,A16_10,*1,KKM0976
1,1,A16_11,*1,KKM0976
1,1,A16_12,*1,KKM0976
1,1,A16_13,*1,KKM0976
1,1,A16_14,*1,KKM0976
1,1,A16_15,*1,KKM0976
1,1,A16_16,*1,KKM0976
1,1,A16_17,*1,KKM0976
1,1,A16_18,*1,KKM0976
1,1,A16_19,*1,KKM0976
1,1,A16_2,*1,KKM0976
1,1,A16_20,*1,KKM0976
1,1,A16_21,*1,KKM0976
1,1,A16_22,*1,KKM0976
1,1,A16_3,*1,KKM0976
1,1,A16_4,*1,KKM0976
1,1,A16_5,*1,KKM0976
1,1,A16_6,*1,KKM0976
1,1,A16_7,*1,KKM0976
1,1,A16_8,*1,KKM0976
1,1,A16_9,*1,KKM0976
1,1,B14_1,*1,KKM0976
1,1,B14_10,*1,KKM0976
1,1,B14_11,*1,KKM0976
1,1,B14_12,*1,KKM0976
1,1,B14_13,*1,KKM0976
1,1,B14_14,*1,KKM0976
1,1,B14_17,*1,KKM0976
1,1,B14_18,*1,KKM0976
1,1,B14_19,*1,KKM0976
1,1,B14_2,*1,KKM0976
1,1,B14_20,*1,KKM0976
1,1,B14_3,*1,KKM0976
1,1,B14_5,*1,KKM0976
1,1,B14_6,*1,KKM0976
1,1,B14_7,*1,KKM0976
1,1,B14_8,*1,KKM0976
1,1,B14_9,*1,KKM0976
2,1,A17_10,*2,KKM0949
2,1,A17_2,*2,KKM0949
2,1,A17_3,*2,KKM0949
2,1,A17_4,*2,KKM0949
2,1,A17_5,*2,KKM0949
2,1,A17_6,*2,KKM0949
2,1,A17_7,*2,KKM0949
2,1,A17_8,*2,KKM0949
2,1,A17_9,*2,KKM0949
3,1,A18_1,*3,#1
3,1,A18_10,*3,#1
3,1,A18_11,*3,#1
3,1,A18_12,*3,#1
3,1,A18_13,*3,#1
3,1,A18_14,*3,#1
3,1,A18_15,*3,#1
3,1,A18_16,*3,#1
3,1,A18_17,*3,#1
3,1,A18_18,*3,#1
3,1,A18_2,*3,#1
3,1,A18_20,*3,#1
3,1,A18_3,*3,#1
3,1,A18_4,*3,#1
3,1,A18_5,*3,#1
3,1,A18_6,*3,#1
3,1,A18_7,*3,#1
3,1,A18_8,*3,#1
3,1,A18_9,*3,#1
4,0.9561,B10_1,*4,#2
4,0.9561,B10_10,*4,#2
4,0.9561,B10_11,*5,#2
4,0.9561,B10_12,*4,#2
4,0.9561,B10_14,*5,#2
4,0.9561,B10_15,*4,#2
4,0.9561,B10_16,*5,#2
4,0.9561,B10_17,*4,#2
4,0.9561,B10_18,*4,#2
4,0.9561,B10_19,*4,#2
4,0.9561,B10_2,*5,#2
4,0.9561,B10_20,*4,#2
4,0.9561,B10_3,*4,#2
4,0.9561,B10_4,*5,#2
4,0.9561,B10_5,*4,#2
4,0.9561,B10_6,*4,#2
4,0.9561,B10_7,*5,#2
4,0.9561,B10_8,*4,#2
4,0.9561,B10_9,*4,#2
5,0.0179,B11_6,*6,KKM0925
5,0.0179,B11_1,*7,KKM0925
5,0.0179,B11_11,*8,KKM0925
5,0.0179,B11_14,*10,KKM0925
5,0.0179,B11_15,*7,KKM0925
5,0.0179,B11_13,*11,KKM0925
5,0.0179,B11_16,*11,KKM0925
5,0.0179,B11_17,*8,KKM0925
5,0.0179,B11_18,*11,KKM0925
5,0.0179,B11_19,*11,KKM0925
5,0.0179,B11_2,*11,KKM0925
5,0.0179,B11_20,*11,KKM0925
5,0.0179,B11_3,*11,KKM0925
5,0.0179,B11_4,*11,KKM0925
5,0.0179,B11_5,*11,KKM0925
5,0.0179,B11_7,*11,KKM0925
5,0.0179,B11_8,*11,KKM0925
5,0.0179,B11_9,*7,KKM0925
6,1,B12_1,*12,#3
6,1,B12_21,*12,#3
6,1,B12_10,*12,#3
6,1,B12_11,*12,#3
6,1,B12_12,*12,#3
6,1,B12_13,*12,#3
6,1,B12_14,*12,#3
6,1,B12_15,*12,#3
6,1,B12_16,*12,#3
6,1,B12_17,*12,#3
6,1,B12_18,*12,#3
6,1,B12_19,*12,#3
6,1,B12_2,*12,#3
6,1,B12_20,*12,#3
6,1,B12_3,*12,#3
6,1,B12_5,*12,#3
6,1,B12_6,*12,#3
6,1,B12_7,*12,#3
6,1,B12_8,*12,#3
6,1,B12_9,*12,#3
7,1,B13_1,*13,KKM0967
7,1,B13_10,*13,KKM0967
7,1,B13_11,*13,KKM0967
7,1,B13_12,*13,KKM0967
7,1,B13_13,*13,KKM0967
7,1,B13_14,*13,KKM0967
7,1,B13_15,*13,KKM0967
7,1,B13_16,*13,KKM0967
7,1,B13_17,*13,KKM0967
